Student_ID,Student_Name,Study_Hours,Attendance_Percentage,Internal_Assessment_Score,Previous_Academic_Result,Final_Grade,Gender,Age
STU4637,Surya Malhotra,4,70.9,30.4,51.1,D,M,24
STU4638,Ishita Kumar,7,76.4,42,68,C,female,22
STU4639,Dev Joshi,7.8,,51.5,90.2,A,Male,-12
STU4640,Manav Reddy,8.3,85.5,52.9,92.4,A,M,20
STU4641,Harsh Iyer,9.5,81.3,40,43,D,M,-4
STU4642,Yash Bansal,3.8,90.7,31.6,49.7,D,M,20
STU4643,Tanvi Malhotra,8.7,90.3,43.4,56.5,C,F,24
STU4644,Nisha Kumar,2.2,84.7,35.6,75.7,B,female,25
STU4645,Aadhya Agarwal,7.3,91.5,42.3,61.7,C,F,17
STU4646,Ira Patel,7.7,73.4,49.9,90.6,A,female,20
STU4647,Reyansh Kapoor,7.1,95.2,48.6,83,B,Male,20
STU4648,Shruti Jain,3.3,84.6,28.9,46,D,F,18
STU4649,Rohan Kapoor,8.9,92.9,50.3,77.5,B,M,22
STU4650,Vihaan Kumar,2.5,81.9,27.2,46.8,D,Male,19
STU4651,Saanvi Gupta,1.5,68.7,26.5,55.3,C,F,23
STU4652,Diya Chopra,7.5,81.7,38.4,50.7,D,female,21
STU4653,Ira Gupta,5.3,74.8,33.2,50.4,D,F,20
STU4654,Ira Iyer,8.6,87.9,49.1,77,B,F,21
STU4655,Aryan Sharma,4.5,79,39,73.8,B,M,24
STU4656,Rohan Saxena,2.5,93.4,29.5,50.6,D,M,19
STU4657,Karthik Bansal,8.5,87.1,55.5,99.4,A,Male,23
STU4658,Karthik Gupta,5.9,87.4,40.1,65.3,C,M,22
STU4659,Sneha Chopra,2.7,,26,45.8,D,F,17
STU4660,Shruti Sharma,7.5,99.4,39.1,47.2,D,F,23
STU4661,Pooja Mehta,5.6,93.7,43.1,75,B,female,23
STU4662,Anika Jain,6.4,91.6,,98.7,A,F,17
STU4663,Manav Nair,5.1,73.2,39.8,74.3,B,Male,25
STU4664,Rohan Agarwal,8.5,81.4,54.2,96.9,A,Male,22
STU4665,Dev Gupta,8.5,65.5,43.5,66.6,C,M,18
STU4666,Diya Jain,7.4,81.5,42.8,66.2,C,female,21
STU4667,Myra Saxena,1.9,65.8,31.4,70,B,F,20
STU4668,Arjun Malhotra,8.5,82.1,49.8,81.8,B,M,23
STU4669,Priya Agarwal,,85.9,41.2,62.1,C,F,24
STU4670,Karthik Kapoor,7.3,75.6,49.7,91.8,A,Male,17
STU4671,Vivaan Sharma,4.3,79.9,29.1,41.8,D,Male,21
STU4672,Nisha Joshi,8.9,95,47.2,66.4,C,female,19
STU4673,Anika Kumar,7.5,64.3,42.6,70.7,B,F,-9
STU4674,Priya Reddy,2,91.7,36.1,76.4,B,F,19
STU4675,Shaurya Chopra,4.7,66.8,33.1,56.6,C,Male,22
STU4676,Priya Verma,9,61.5,43.8,65.6,C,female,23
STU4677,Rahul Sharma,1.4,67.4,30.3,69.1,C,M,24
STU4678,Shruti Malhotra,9.7,90.6,52.8,81.2,B,female,20
STU4679,Karthik Malhotra,7.1,76.2,47.7,86.4,A,M,19
STU4680,Aarav Singh,6.7,94.9,48.2,84.3,B,M,21
STU4681,Nikhil Agarwal,3.4,81,33,60.5,C,Male,25
STU4682,Vihaan Gupta,3.2,60.9,42.5,100,A,M,22
STU4683,Sneha Kapoor,9.5,88.7,55.1,90.9,A,F,25
STU4684,Yash Iyer,3.7,64.4,30.5,55.6,C,Male,22
STU4685,Kavya Khanna,8,91.6,40.7,51.7,D,female,-16
STU4686,Ishita Khanna,4.5,66.7,33.3,58.8,C,female,21
STU4687,Vivaan Saxena,2.3,73.8,32.1,67.1,C,M,25
STU4688,Ananya Patel,1.1,90.5,38.6,91,A,F,24
STU4689,Myra Iyer,5.9,98.2,47.6,86.7,A,female,23
STU4690,Surya Malhotra,9.8,74.9,54.4,91.1,A,M,17
STU4691,Shruti Patel,4.3,93.2,34.8,56.3,C,female,20
STU4692,Diya Chopra,4.2,,37.8,75.6,B,,23
STU4693,Rahul Joshi,4.1,92.3,34.5,57,C,M,23
STU4694,Ritika Chopra,5.7,86.3,34,46.5,D,F,22
STU4695,Manav Malhotra,5,67.7,41.1,81.1,B,M,24
STU4696,Ritika Singh,8.9,72.1,39.6,48.6,D,F,-22
STU4697,Saanvi Joshi,5.5,65.3,41.6,80.1,B,female,19
STU4698,Kavya Kapoor,5.6,75.3,42.4,78.9,B,female,20
STU4699,Pooja Chopra,2.2,68.1,37.8,88.6,A,F,19
STU4700,Myra Verma,9.8,85.8,42.7,48.4,D,female,17
STU4701,Sneha Malhotra,3.2,99.8,42.5,87,A,female,21
STU4702,Rahul Mehta,1.7,60.5,39.4,,D,M,17
STU4703,Diya Reddy,7,81.6,49.5,91.1,A,F,17
STU4704,Arjun Singh,6.4,82.9,46.6,85.1,A,M,18
STU4705,Anika Gupta,4.7,96.6,43,79.7,B,female,-11
STU4706,Ritika Singh,4.8,80.2,37.2,65.3,C,female,22
STU4707,Shaurya Verma,8.1,81.7,49.5,83.8,B,Male,24
STU4708,Ritika Kumar,2.8,78.9,38.5,,D,F,19
STU4709,Ritika Agarwal,8.4,70.8,47.2,77.9,B,F,17
STU4710,Yash Patel,6.8,62.2,46.2,87.8,A,M,19
STU4711,Diya Bansal,4.8,76.3,37.3,66.9,C,F,19
STU4712,Rahul Bansal,5.1,62.1,30.6,47.3,D,M,21
STU4713,Ayushi Sharma,3.3,82,36.8,73.5,B,female,-18
STU4714,Surya Singh,7.8,72.3,39.6,55.9,C,Male,20
STU4715,Ritika Mehta,5.6,81.3,38.3,63.1,C,female,25
STU4716,Karthik Bansal,3.9,65.4,26.6,41,D,M,23
STU4717,Vivaan Das,6.4,97.3,41.4,63,C,M,-15
STU4718,Harsh Kumar,10,95.8,56.1,88.5,A,Male,19
STU4719,Aadhya Chopra,4.9,67.6,38.3,72.6,B,female,22
STU4720,Shruti Sharma,9.3,73.7,38.2,40.6,D,F,19
STU4721,Vivaan Verma,4.1,84.5,37.1,68.2,C,Male,22
STU4722,Saanvi Iyer,1.5,,26.6,57.5,C,F,-9
STU4723,Ritika Jain,2.8,74.2,33.6,68.7,C,female,22
STU4724,Shaurya Mehta,4.8,70,35.9,64.3,C,Male,20
STU4725,Nisha Agarwal,3,96.6,44.4,95.9,A,female,21
STU4726,Aadhya Verma,1,94.1,24.2,42.5,D,female,22
STU4727,Ritika Nair,9.2,83.2,51,81,B,F,19
STU4728,Ishita Malhotra,8.6,80.8,52.6,,D,F,24
STU4729,Ananya Kumar,7.7,97.2,54.4,97.6,A,F,20
STU4730,Nisha Kapoor,2.5,97.3,29.9,50.7,D,female,24
STU4731,Aarav Bansal,2.1,98.8,,71.9,B,M,19
STU4732,Diya Gupta,1.6,65,22.5,42.6,D,female,-25
STU4733,Krishna Bansal,7.5,66.4,42.6,70,B,M,25
STU4734,Rohan Mehta,9.4,87.1,,47.5,D,Male,20
STU4735,Ananya Malhotra,4.9,81.7,45.1,90.3,A,F,-24
STU4736,Sneha Singh,2.1,60.7,24.3,46.8,D,F,19
STU4737,Ishita Nair,5.6,62.5,38.7,70.8,B,female,23
STU4738,Manav Das,4.1,95.5,39.1,71.3,B,M,19
STU4739,Karthik Nair,4.4,94.8,47.8,98.3,A,Male,23
STU4740,Nisha Verma,6.6,74.3,44.4,79.3,B,female,22
STU4741,Karthik Chopra,7.5,95.6,41.8,57.3,C,Male,18
STU4742,Sai Das,2,83.7,28.7,54.4,D,M,19
STU4743,Myra Jain,1.3,92.2,26.1,47.7,D,F,-4
STU4744,Shruti Patel,9.9,77.1,53.1,85.4,A,F,20
STU4745,Surya Joshi,3.1,64.5,37.1,81.4,B,M,22
STU4746,Aadhya Mehta,1.5,77.3,33.7,76.6,B,F,17
STU4747,Nisha Nair,2.7,78.3,26,42.5,D,female,17
STU4748,Ishaan Reddy,1.4,82,36.7,85.8,A,M,-16
STU4749,Priya Khanna,4.5,64.2,39,78.5,B,F,24
STU4750,Harsh Kapoor,8.2,99.7,55.7,97.8,A,M,24
STU4751,Karthik Iyer,4.1,69.8,37.7,75.2,B,Male,20
STU4752,Ira Agarwal,5,67.9,34.2,58.2,C,female,-4
STU4753,Diya Gupta,7.1,81.1,41.2,62.9,C,female,24
STU4754,Diya Verma,5.6,81.5,34.5,50.6,D,female,23
STU4755,Meera Kumar,8.8,77.6,50.4,83.4,B,F,23
STU4756,Yash Kapoor,8.8,90.9,51.4,82.5,B,Male,20
STU4757,Pooja Das,1.1,80.7,25.9,52,D,F,25
STU4758,Meera Jain,8,84.4,39.3,49.5,D,F,22
STU4759,Aryan Patel,5.1,88.9,32.5,44.6,D,M,19
STU4760,Sneha Agarwal,9.9,61,54.3,94.7,A,female,21
STU4761,Ishita Agarwal,5.3,82.8,35.1,54,D,F,21
STU4762,Meera Agarwal,9.9,95.4,47.5,60.6,C,female,21
STU4763,Dev Jain,7.8,60.7,38.7,56.8,C,Male,24
STU4764,Sai Kumar,3.2,76.2,33.5,64.8,C,Male,25
STU4765,Pooja Jain,5.8,97,46.1,82.8,B,female,25
STU4766,Shruti Jain,9.9,74.1,54.9,92.2,A,female,22
STU4767,Ishaan Gupta,8.7,78.3,40.5,51,D,Male,22
STU4768,Nikhil Kumar,1.9,99.3,38.1,81.2,B,Male,25
STU4769,Ritika Mehta,7.4,68,40,61.2,C,F,-18
STU4770,Rohan Chopra,4.1,62.6,44.1,98.8,A,Male,22
STU4771,Ananya Khanna,1.1,94.4,29,57.9,C,F,20
STU4772,Rahul Chopra,4.6,94.7,30.8,40.4,D,Male,-18
STU4773,Aadhya Sharma,3.1,78.9,35.4,70.9,B,F,23
STU4774,Rahul Sharma,8.4,80.6,39.6,49,D,M,-1
STU4775,Rahul Kapoor,4,93.4,30.2,42.7,D,M,25
STU4776,Nisha Kumar,8.4,89.5,50.3,81.9,B,F,-11
STU4777,Ishita Joshi,1,70.6,34.2,83.9,B,female,23
STU4778,Aryan Verma,3.8,60.7,33.9,67.6,C,M,18
STU4779,Ishaan Kumar,3.2,79.2,38.5,80.6,B,Male,25
STU4780,Shruti Das,3.1,94.4,37.3,72.3,B,female,25
STU4781,Reyansh Patel,1.6,95.8,36.1,77.8,B,Male,22
STU4782,Aditya Verma,2.7,98.2,38,75.8,B,M,19
STU4783,Dev Joshi,6,,45.5,79.9,B,Male,17
STU4784,Ayushi Patel,3.6,83.2,31.1,52,D,F,20
STU4785,Pooja Das,4.8,77.8,34.2,56.1,C,female,19
STU4786,Krishna Chopra,4.4,91,37.8,66.4,C,M,17
STU4787,Anika Nair,8.9,89.6,46.8,66.8,C,female,19
STU4788,Tanvi Khanna,9.1,81.5,52.3,86.5,A,F,20
STU4789,Sai Das,5.4,63.5,35.8,62,C,M,24
STU4790,Aarav Verma,4,,32.6,49.8,D,Male,25
STU4791,Shruti Gupta,2,78.2,28.4,55.1,C,female,19
STU4792,Krishna Sharma,9.6,74.5,42.5,52.9,D,M,22
STU4793,Nikhil Khanna,1.5,85.2,36.7,83.9,B,M,21
STU4794,Ananya Kapoor,3.7,87,36.6,68.2,C,F,22
STU4795,Aditya Agarwal,3.7,68.4,39,82.5,B,M,20
STU4796,Reyansh Bansal,3.9,93.5,36.6,65,C,M,22
STU4797,Saanvi Nair,2.5,71.6,40.2,93.4,A,F,23
STU4798,Nikhil Agarwal,8,67.5,52.4,99,A,Male,25
STU4799,Aryan Agarwal,2.1,76.3,35.9,80.2,B,Male,23
STU4800,Aryan Iyer,6.7,89.2,49.9,91.8,A,M,22
STU4801,Sai Das,2.1,98.6,35.2,70.5,B,Male,17
STU4802,Myra Nair,1.6,92.4,41.3,96.1,A,F,-2
STU4803,Vihaan Malhotra,9.2,97.6,55.1,89.9,A,Male,17
STU4804,Vihaan Sharma,2.7,65.6,41.8,99.5,A,M,25
STU4805,Sneha Malhotra,8.4,62.8,46.3,77.4,B,F,25
STU4806,Aryan Khanna,5.9,82.3,46.1,86.8,A,Male,23
STU4807,Ananya Nair,1.7,71.6,32.3,72.6,B,female,18
STU4808,Tanvi Sharma,9.6,93.1,45.2,55.5,C,female,22
STU4809,Tanvi Jain,3.2,86.9,33.5,61.3,C,F,20
STU4810,Vihaan Saxena,8.7,98.8,55.4,93.6,A,Male,17
STU4811,Vivaan Gupta,2.5,70.2,25,43.4,D,M,17
STU4812,Aadhya Kapoor,8.7,79.4,48,75.5,B,female,21
STU4813,Nikhil Agarwal,1.1,80,28.9,62.3,C,Male,-5
STU4814,Krishna Joshi,5.6,69.6,37.1,63.2,C,Male,-21
STU4815,Vihaan Reddy,7.9,83.6,52.1,93.1,A,M,17
STU4816,Aryan Saxena,9.4,77.7,53.9,91.2,A,M,20
STU4817,Harsh Bansal,9.2,77.9,49,75.9,B,Male,22
STU4818,Vivaan Mehta,8.4,74.5,41.2,56.4,C,M,20
STU4819,Anika Kapoor,,60.7,,68.5,C,F,17
STU4820,Ayushi Nair,2.8,80.9,33,64.5,C,female,-4
STU4821,Shruti Saxena,3.6,73.4,32.9,61.2,C,female,18
STU4822,Aarav Singh,,60.1,27.1,46.2,D,Male,25
STU4823,Aditya Mehta,4.4,72.3,37.8,72.6,B,Male,-22
STU4824,Karthik Chopra,4.5,71.1,33.5,58.1,C,M,24
STU4825,Ayushi Das,5.9,75.7,43.2,79.6,B,female,24
STU4826,Saanvi Joshi,2.4,65.3,29.1,59.2,C,,19
STU4827,Aditya Patel,7.2,80.3,42.2,65.9,C,Male,20
STU4828,Harsh Kumar,2.5,87.7,26.7,43.1,D,Male,-18
STU4829,Ishaan Sharma,3.8,85.2,46,99.6,A,Male,20
STU4830,Nikhil Mehta,5.5,92.2,41.4,70.5,B,Male,25
STU4831,Harsh Reddy,8.2,78.1,36.7,41.5,D,Male,-16
STU4832,Rohan Kumar,7.7,80.8,45.2,72.5,B,Male,19
STU4833,Ananya Verma,6.8,92.4,50.5,92.2,A,F,20
STU4834,Sara Gupta,2.4,77.1,,86.4,A,F,21
STU4835,Manav Patel,5.9,88.1,45.2,,D,M,17
STU4836,Sneha Agarwal,1.8,77.4,25.9,48.4,D,F,23
STU4837,Vihaan Kapoor,4.4,76.7,40.3,79.5,B,M,23
STU4838,Nikhil Bansal,4.7,90.4,44.2,86,A,M,25
STU4839,Kavya Agarwal,1.4,67,31.8,74.3,B,F,20
STU4840,Priya Jain,3.5,73.5,42.4,93.6,A,female,22
STU4841,Reyansh Khanna,9.6,69,43.1,56.6,C,M,18
STU4842,Sai Sharma,9.6,74.4,43,54.5,D,Male,20
STU4843,Surya Singh,4.2,69.2,43,92.2,A,M,18
STU4844,Rahul Reddy,1.4,83.2,34.4,77.5,B,M,21
STU4845,Aadhya Mehta,2.6,91.9,26.4,40.1,D,female,23
STU4846,Reyansh Nair,4.5,91.5,36.5,61.2,C,Male,17
STU4847,Shruti Das,9.5,74.6,53.9,91.5,A,female,23
STU4848,Sneha Kapoor,2.3,99.6,27,41.6,D,female,22
STU4849,Kavya Gupta,7.9,83.8,36.2,40.2,D,female,22
STU4850,Karthik Das,2,76,28.7,56.9,C,M,24
STU4851,Sai Kapoor,9.8,93.4,57.4,94.8,A,Male,24
STU4852,Nikhil Jain,4.4,89.2,46,94.1,A,Male,-10
STU4853,Ishita Patel,8,90,46.3,71.1,B,female,19
STU4854,Diya Malhotra,4.1,67.8,36.9,73.2,B,F,21
STU4855,Nikhil Joshi,6.6,78.7,39,59.9,C,Male,18
STU4856,Ishaan Malhotra,2.7,94.5,31.2,54.6,D,Male,21
STU4857,Ayushi Bansal,2.3,80.2,39.3,88.9,A,female,-7
STU4858,Manav Sharma,9.4,87.3,41.4,46.4,D,M,17
STU4859,Ayushi Jain,9.3,83.5,47.7,69.2,C,female,21
STU4860,Diya Agarwal,9,,50.8,78.1,B,F,22
STU4861,Ishita Bansal,6.6,71.4,34.2,46.2,D,F,23
STU4862,Arjun Malhotra,8.3,83,46.3,71.2,B,,25
STU4863,Priya Bansal,1.6,64.9,32.1,74.7,B,F,22
STU4864,Shaurya Mehta,4,87.6,42.1,,D,M,21
STU4865,Aryan Joshi,3.8,89.3,32.8,54.1,D,M,23
STU4866,Nikhil Sharma,6.7,61.7,36.8,57.6,C,M,17
STU4867,Meera Sharma,4.2,87,39.4,74.2,B,F,21
STU4868,Nikhil Nair,2.3,76.6,,99,A,M,18
STU4869,Tanvi Reddy,6.4,65,35.2,53,D,female,20
STU4870,Manav Joshi,8.3,76.8,54,99.2,A,M,23
STU4871,Sneha Verma,4.4,67.8,40.4,82.9,B,F,21
STU4872,Arjun Mehta,2.2,76.6,38.9,89.6,A,Male,22
STU4873,Ishita Malhotra,2.8,75.4,26.8,45.4,D,F,-10
STU4874,Myra Joshi,3.1,89.5,32.6,58,C,female,19
STU4875,Diya Agarwal,3.7,91,29.6,43.5,D,female,23
STU4876,Sneha Gupta,6.8,84.3,40.7,62.3,C,F,18
STU4877,Sai Iyer,6.4,60.9,48.6,98.9,A,M,22
STU4878,Reyansh Khanna,7.3,97.2,38.2,46.3,D,M,21
STU4879,Rahul Mehta,4.3,87.4,39.4,73.7,B,Male,17
STU4880,Manav Agarwal,8.4,61.4,35.1,40.4,D,M,-1
STU4881,Sneha Saxena,2.8,92.8,39.7,82.8,B,female,18
STU4882,Aryan Iyer,5.2,68,32.7,51.8,D,M,20
STU4883,Ira Iyer,8.2,83.2,39.1,47.8,D,F,17
STU4884,Shruti Chopra,2.6,78.7,31.1,60.2,C,F,18
STU4885,Ishaan Iyer,2,76.8,37.6,86.3,A,Male,24
STU4886,Sneha Gupta,9,95.6,41.5,46.4,D,female,22
STU4887,Kavya Kumar,4.1,77.5,32.1,53.8,D,F,18
STU4888,Saanvi Iyer,7.2,63,32.8,40.5,D,female,22
STU4889,Aditya Bansal,,97.9,41.6,98.1,A,M,25
STU4890,Shaurya Iyer,7.2,96.8,46.7,75.5,B,Male,23
STU4891,Yash Singh,3.8,87.4,41.3,83.2,B,Male,-19
STU4892,Vivaan Iyer,1.5,78.7,34.6,79.1,B,M,-9
STU4893,Priya Kapoor,6.5,63.7,34,48.7,D,F,23
STU4894,Ananya Gupta,3.2,91.6,38.3,75.7,B,female,23
STU4895,Aadhya Kapoor,4.5,63,29.7,47.9,D,female,19
STU4896,Ritika Bansal,1.7,62.7,28.9,64.1,C,female,23
STU4897,Priya Patel,2.3,81.5,35,74.1,B,F,17
STU4898,Manav Kapoor,3.7,66.4,36.1,73.5,B,,25
STU4899,Shruti Khanna,1.8,60.3,23.8,47.1,D,female,-11
STU4900,Meera Agarwal,9.2,76.9,38.7,42.1,D,F,21
STU4901,Navya Kapoor,1.1,65.5,35.1,87.9,A,female,-15
STU4902,Nisha Mehta,5.4,66.4,42.5,83.6,B,F,21
STU4903,Ishaan Das,2.1,63.1,24,44.9,D,M,21
STU4904,Myra Saxena,3.8,68.2,28.7,47.6,D,female,-25
STU4905,Manav Kapoor,,88.6,55.5,93.6,A,M,23
STU4906,Nikhil Iyer,2.5,92.4,40.1,86.1,A,Male,19
STU4907,Ira Kumar,9.7,78.1,57.2,99.8,A,F,19
STU4908,Vivaan Joshi,2.9,80.3,30.4,55.2,C,Male,19
STU4909,Aarav Reddy,7.7,61.3,42.3,69.3,C,M,-22
STU4910,Aditya Saxena,5.9,62.8,34.3,54.2,D,M,22
STU4911,Vihaan Bansal,9,70.3,48.2,77.4,B,M,19
STU4912,Aadhya Gupta,6,81.8,34.2,46.9,D,female,19
STU4913,Kavya Reddy,5.8,,34.8,47.6,D,,24
STU4914,Aryan Kumar,2.8,84.2,27.3,44.3,D,M,24
STU4915,Rahul Patel,2.5,75.7,37,81.6,B,M,23
STU4916,Ishita Khanna,9.2,64.7,45.8,69.6,C,female,20
STU4917,Sneha Bansal,4,91.2,,77.1,B,female,20
STU4918,Sneha Jain,4.3,74.6,43.9,92.8,A,F,19
STU4919,Surya Mehta,7.8,89.4,49.9,84.4,B,M,21
STU4920,Meera Gupta,4,80.5,36.4,67.7,C,female,-1
STU4921,Sara Reddy,9.6,89.5,57.9,99.1,A,female,24
STU4922,Krishna Nair,7.6,96.3,45.1,67.4,C,Male,23
STU4923,Krishna Kapoor,6.4,96.8,36.5,46.7,D,M,19
STU4924,Dev Singh,8.9,81.4,55.8,99.6,A,M,25
STU4925,Ishita Singh,1.4,80.5,23.3,41.4,D,female,21
STU4926,Dev Iyer,3.3,70.6,35.6,73,B,Male,25
STU4927,Shruti Malhotra,5.2,97.4,37.7,58.5,C,F,23
STU4928,Reyansh Sharma,3,78.3,34.9,70.2,B,M,23
STU4929,Tanvi Gupta,7.7,65.1,44,73.5,B,F,22
STU4930,Rahul Reddy,9.3,77.3,42.7,54.4,D,M,-4
STU4931,Diya Malhotra,4.8,65.1,38.1,73.4,B,female,25
STU4932,Kavya Malhotra,4.1,80.1,41.8,85.4,A,F,22
STU4933,Karthik Chopra,9.7,82.5,44.4,56,C,M,24
STU4934,Rahul Khanna,5,73.5,36.2,63,C,,17
STU4935,Priya Gupta,5.4,62.9,33.9,56.1,C,female,21
STU4936,Sai Malhotra,4.2,97.7,44.9,89.2,A,Male,17
STU4937,Dev Kapoor,9.2,90.9,52.5,83.5,B,Male,24
STU4938,Pooja Jain,6.1,93.6,49.2,92.3,A,F,24
STU4939,Shruti Bansal,7.9,74.7,38.3,50.2,D,F,17
STU4940,Saanvi Gupta,8.3,90.4,39,44.4,D,F,25
STU4941,Vihaan Khanna,4.1,79.4,30.3,47.2,D,M,18
STU4942,Aadhya Gupta,4.9,68,31.5,49.7,D,female,25
STU4943,Ritika Das,8.6,65,45.3,72,B,F,-21
STU4944,Nikhil Nair,4.3,73.8,45.5,98.3,A,,25
STU4945,Nikhil Kapoor,8.1,65.5,41.2,61.4,C,M,20
STU4946,Saanvi Singh,9.5,99.9,58.2,97.5,A,F,25
STU4947,Vivaan Verma,6.6,62,32.1,42.3,D,M,23
STU4948,Shruti Das,7.7,77.6,51.8,95.6,A,F,-15
STU4949,Aadhya Saxena,8.2,78.1,39.5,50.9,D,F,21
STU4950,Aryan Das,8.6,72,52.8,94.7,A,M,-22
STU4951,Shruti Verma,4.6,82.9,30.5,43.4,D,female,18
STU4952,Kavya Kapoor,1.5,66,38.7,96.9,A,female,18
STU4953,Vihaan Agarwal,4.6,91.4,33.9,52,D,Male,25
STU4954,Meera Joshi,7.1,73.3,39,58.2,C,female,19
STU4955,Priya Kapoor,5.1,83.7,39.4,,D,female,24
STU4956,Aditya Chopra,7.7,88.6,43.1,62.8,C,M,-14
STU4957,Rohan Kumar,4.2,95.6,42,80.1,B,M,24
STU4958,Ishaan Gupta,6.7,93.4,52.3,98.5,A,Male,-9
STU4959,Sara Chopra,2.7,84.3,36.8,76.4,B,F,17
STU4960,Reyansh Sharma,7.7,75.5,47.9,83.3,B,M,20
STU4961,Aarav Kumar,5.9,80.1,33.4,45.3,D,M,25
STU4962,Reyansh Joshi,2.8,90.7,38,77.7,B,M,18
STU4963,Priya Singh,3.6,95.1,36.9,67.2,C,female,19
STU4964,Arjun Khanna,7.7,64.2,49.8,93.1,A,M,-9
STU4965,Krishna Saxena,5.3,75.4,37.1,63.3,C,Male,22
STU4966,Aryan Kumar,2.9,91,39.1,80.8,B,Male,24
STU4967,Reyansh Khanna,9.7,77.3,43.2,53.7,D,M,23
STU4968,Navya Iyer,7.4,73.3,38.8,55.6,C,F,21
STU4969,Rahul Reddy,9.6,76.5,,62.6,C,M,25
STU4970,Krishna Bansal,4.8,84.1,35.5,58.2,C,Male,20
STU4971,Sara Mehta,,100,37.2,55.2,C,F,22
STU4972,Tanvi Sharma,9.1,79.7,39.1,43,D,female,18
STU4973,Arjun Sharma,5.7,68.3,45.3,90.2,A,M,18
STU4974,Shaurya Nair,7.4,66.5,34.6,43.9,D,Male,18
STU4975,Priya Malhotra,3.3,61.7,40.7,93.2,A,female,23
STU4976,Myra Nair,5,82.4,32.5,47.5,D,,18
STU4977,Ira Jain,2.1,81.8,25.6,43.9,D,female,18
STU4978,Aryan Iyer,2.9,68.2,34.8,73.8,B,Male,25
STU4979,Rohan Bansal,1,87.8,31.8,70.1,B,Male,23
STU4980,Priya Jain,1.4,89.6,32.6,69.5,C,female,19
STU4981,Rohan Gupta,9.8,,49,74.5,B,M,19
STU4982,Rohan Bansal,3.2,73.8,30.9,57.2,C,Male,23
STU4983,Priya Agarwal,7,99.6,47.9,79.8,B,F,21
STU4984,Reyansh Bansal,8.6,75,45.7,70.1,B,M,-25
STU4985,Aadhya Iyer,6,90.4,39.1,60.1,C,F,24
STU4986,Krishna Kapoor,2.4,78.1,39.5,89.6,A,Male,25
STU4987,Saanvi Patel,7.6,91.7,49.5,83.7,B,female,17
STU4988,Rahul Gupta,6.4,90.8,41,63.6,C,,19
STU4989,Tanvi Reddy,7.6,86.7,51.1,90.9,A,female,23
STU4990,Navya Mehta,7.9,94.2,53.8,95.2,A,,22
STU4991,Ishita Verma,9.8,97.6,51,72.2,B,F,23
STU4992,Ananya Kumar,6.2,83.2,36.6,52.9,D,F,24
STU4993,Yash Kumar,4.1,69.5,43.6,94.9,A,M,22
STU4994,Manav Mehta,6.8,75.9,36.6,51.4,D,M,-18
STU4995,Reyansh Chopra,1.6,90.3,25.1,42.9,D,M,18
STU4996,Meera Bansal,9.1,86,44.7,59.6,C,F,23
STU4997,Ishita Singh,2.1,67.1,36,83.6,B,F,17
STU4998,Shruti Iyer,4,62,42.8,95.4,A,female,19
STU4999,Ritika Iyer,8.3,87.3,48.8,78.2,B,female,20
STU5000,Pooja Saxena,6.4,70,48.9,97.1,A,female,17
STU5001,Aarav Joshi,4.5,80,30.6,45.5,D,M,21
STU5002,Shaurya Saxena,5.3,89.9,32.7,43.6,D,Male,19
STU5003,Vihaan Iyer,8.7,82.5,48.5,76.3,B,,18
STU5004,Surya Jain,4.1,63.3,43.9,98,A,M,19
STU5005,Saanvi Kumar,8.8,67.4,45.4,70.2,B,F,24
STU5006,Shaurya Agarwal,1.8,68.8,23.4,43.1,D,Male,22
STU5007,Aadhya Chopra,8,70.3,39,53.3,D,F,23
STU5008,Pooja Das,8.6,82.6,41.9,54.7,D,F,22
STU5009,Navya Reddy,2.6,80.2,31.3,60.3,C,,22
STU5010,Navya Agarwal,4.9,68.1,29.4,42.6,D,female,19
STU5011,Vivaan Agarwal,2.5,62.7,39.6,94.3,A,Male,24
STU5012,Harsh Bansal,7.4,66.9,42.8,70.9,B,M,23
STU5013,Ishaan Saxena,5.8,99.4,45.6,80.3,B,M,23
STU5014,Yash Verma,6.7,78.7,34.5,44,D,M,22
STU5015,Vihaan Joshi,2.8,94.7,28,43.2,D,Male,21
STU5016,Aadhya Mehta,2.9,94,37.8,75.2,B,F,24
STU5017,Rahul Reddy,1.4,80.5,38.8,93.2,A,M,21
STU5018,Sai Sharma,3.9,88.3,38.1,71.7,B,Male,25
STU5019,Tanvi Jain,6,67.7,46.6,92.7,A,female,25
STU5020,Sai Nair,8.7,87.5,52.8,88.7,A,Male,-11
STU5021,Ira Kapoor,7,70.9,34.5,44.6,D,female,22
STU5022,Shaurya Singh,4.9,93.3,34.8,52.1,D,Male,23
STU5023,Ira Khanna,9.6,63.3,49.4,79.5,B,female,19
STU5024,Karthik Verma,7.5,90.9,44.1,66.6,C,M,23
STU5025,Dev Kapoor,9.4,64,42.4,57.4,C,Male,23
STU5026,Saanvi Bansal,5.7,95.2,40.4,65.1,C,female,18
STU5027,Priya Verma,3.3,,33.8,66.7,C,F,-14
STU5028,Vihaan Iyer,1.5,86.2,40,94.6,A,M,17
STU5029,Karthik Reddy,7.5,79.5,36.8,46.2,D,M,21
STU5030,Ayushi Kumar,2.1,74.7,28.7,56.8,C,female,25
STU5031,Sara Patel,3.7,85.8,37.7,72.3,B,female,23
STU5032,Reyansh Kumar,5.8,97.9,46,81.9,B,Male,23
